official_name,short_name,ISO3,Year,Value,ISO
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,2020.0,0.89,LKA
State of Palestine,Palestine,PSE,2018.0,9.66055728020866,PSE
State of Palestine,Palestine,PSE,2019.0,8.3597511712,PSE
Kingdom of Sweden,Sweden,SWE,2018.0,0.965504378286542,SWE
Kingdom of Sweden,Sweden,SWE,2019.0,0.961700457034384,SWE
Kingdom of Sweden,Sweden,SWE,2020.0,1.05,SWE
Republic of China,Taiwan,TWN,,,
Republic of Tajikistan,Tajikistan,TJK,2018.0,7.86780628441027,TJK
Republic of Tajikistan,Tajikistan,TJK,2019.0,7.63864687805825,TJK
Republic of Tajikistan,Tajikistan,TJK,2020.0,7.45,TJK
Kingdom of Thailand,Thailand,THA,2018.0,3.60668254685433,THA
Kingdom of Thailand,Thailand,THA,2019.0,3.2788023153719,THA
Kingdom of Thailand,Thailand,THA,2020.0,3.29,THA
Togolese Republic,Togo,TGO,2018.0,40.8971450663328,TGO
Togolese Republic,Togo,TGO,2019.0,39.1190083234783,TGO
Togolese Republic,Togo,TGO,2020.0,37.75,TGO
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,2018.0,1.57097850440866,TTO
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,2019.0,1.49005776440497,TTO
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,2020.0,1.48,TTO
Republic of Tunisia,Tunisia,TUN,2018.0,3.87304305899877,TUN
Republic of Tunisia,Tunisia,TUN,2019.0,3.62962856357143,TUN
Republic of Tunisia,Tunisia,TUN,2020.0,2.97,TUN
Republic of Turkey,Turkey,TUR,2018.0,2.64749988407133,TUR
Republic of Turkey,Turkey,TUR,2019.0,1.75859654247659,TUR
Republic of Turkey,Turkey,TUR,2020.0,0.95,TUR
Turkmenistan,Turkmenistan,TKM,2018.0,9.66511233573548,TKM
Turkmenistan,Turkmenistan,TKM,2019.0,7.630351844,TKM
Turkmenistan,Turkmenistan,TKM,2020.0,7.71,TKM
Republic of Uganda,Uganda,UGA,2018.0,34.343340618862,UGA
Republic of Uganda,Uganda,UGA,2019.0,33.0224429030769,UGA
Republic of Uganda,Uganda,UGA,2020.0,,UGA
Ukraine,Ukraine,UKR,2018.0,1.49682164629026,UKR
Ukraine,Ukraine,UKR,2019.0,1.4400158271454,UKR
Ukraine,Ukraine,UKR,2020.0,1.6,UKR
United Arab Emirates,United Arab Emirates,ARE,2018.0,0.570852353674354,ARE
United Arab Emirates,United Arab Emirates,ARE,2019.0,0.544588155196687,ARE
United Arab Emirates,United Arab Emirates,ARE,2020.0,0.55,ARE
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,2018.0,1.26568392470627,GBR
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,2019.0,1.2465657346802,GBR
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,2020.0,1.99,GBR
United States of America,United States,USA,2018.0,0.826708860759494,USA
United States of America,United States,USA,2019.0,0.794525547445256,USA
United States of America,United States,USA,2020.0,0.99,USA
Oriental Republic of Uruguay,Uruguay,URY,2018.0,2.34433080832534,URY
Oriental Republic of Uruguay,Uruguay,URY,2019.0,2.55078026602588,URY
Oriental Republic of Uruguay,Uruguay,URY,2020.0,2.65,URY
Republic of Uzbekistan,Uzbekistan,UZB,2018.0,2.20850703934929,UZB
Republic of Uzbekistan,Uzbekistan,UZB,2019.0,2.47843567746667,UZB
Republic of Uzbekistan,Uzbekistan,UZB,2020.0,2.33,UZB
Socialist Republic of Vietnam,Vietnam,VNM,2018.0,3.71197767834094,VNM
Socialist Republic of Vietnam,Vietnam,VNM,2019.0,3.44892414207874,VNM
Socialist Republic of Vietnam,Vietnam,VNM,2020.0,3.92,VNM
